출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020200149050¶1¶G06F 3/039¶(2006.01.01)
1020200149050¶2¶A61F 5/01¶(2006.01.01)
2020170000715¶1¶A61B 5/053¶(2021.01.01)
2020170000715¶2¶A61B 5/01¶(2021.01.01)
2020170000715¶3¶A61B 5/024¶(2006.01.01)
2020170000715¶4¶A61B 5/00¶(2021.01.01)
2020170000715¶5¶G01K 1/20¶(2006.01.01)
1020180087613¶1¶A61F 5/37¶(2006.01.01)
1020180087613¶2¶E05B 47/00¶(2018.01.01)
1020180087613¶3¶G08B 17/00¶(2014.01.01)
1020187001525¶1¶A61B 5/00¶(2021.01.01)
1020187001525¶2¶A61B 5/024¶(2006.01.01)
1020187001525¶3¶H04M 1/725¶(2021.01.01)
1020187001525¶4¶H04W 4/80¶(2018.01.01)
1020160003918¶1¶G06F 18/00¶(2023.01.01)
1020160003918¶2¶G01P 15/00¶(2006.01.01)
1020160003918¶3¶A63B 24/00¶(2006.01.01)
1020160003918¶4¶A63B 71/06¶(2006.01.01)
1020140112870¶1¶G06F 3/01¶(2006.01.01)
1020157022143¶1¶B25J 9/04¶(2006.01.01)
1020157022143¶2¶B25J 18/04¶(2006.01.01)
1020157022143¶3¶H01L 21/677¶(2006.01.01)
1020177037558¶1¶B25J 9/04¶(2006.01.01)
1020177037558¶2¶B25J 18/04¶(2006.01.01)
1020177037558¶3¶B25J 17/00¶(2006.01.01)
1020140069872¶1¶G06F 18/00¶(2023.01.01)
1020140069872¶2¶G04G 21/00¶(2010.01.01)
1020160043914¶1¶G06F 18/00¶(2023.01.01)
1020160043914¶2¶G06F 18/00¶(2023.01.01)
1020160043914¶3¶G01P 15/14¶(2006.01.01)
1020150129115¶1¶G06F 3/01¶(2006.01.01)
1020150129115¶3¶G06F 21/32¶(2013.01.01)
1020210039621¶1¶G16H 20/10¶(2018.01.01)
1020210039621¶2¶G16H 50/70¶(2018.01.01)
1020210039621¶3¶G16H 70/40¶(2018.01.01)
1020210039621¶4¶G16H 30/20¶(2018.01.01)
1020210039621¶5¶G16H 40/67¶(2018.01.01)
1020210039621¶6¶A61B 5/00¶(2021.01.01)
1020210039621¶7¶G06N 20/00¶(2019.01.01)
1020210039621¶8¶G06N 3/08¶(2023.01.01)
1020210039621¶9¶G16H 40/63¶(2018.01.01)
1020210039621¶10¶G16H 50/20¶(2018.01.01)
1020210039621¶11¶G16H 80/00¶(2018.01.01)
1020210039622¶1¶G16H 20/10¶(2018.01.01)
1020210039622¶2¶G16H 50/70¶(2018.01.01)
1020210039622¶3¶G16H 70/40¶(2018.01.01)
1020210039622¶4¶G16H 30/20¶(2018.01.01)
1020210039622¶5¶G16H 40/67¶(2018.01.01)
1020210039622¶6¶A61B 5/00¶(2021.01.01)
1020210039622¶7¶G06N 20/00¶(2019.01.01)
1020210039622¶8¶G06N 3/08¶(2023.01.01)
1020210039622¶9¶G16H 40/63¶(2018.01.01)
1020210039622¶10¶G16H 50/20¶(2018.01.01)
1020210039622¶11¶G16H 80/00¶(2018.01.01)
1020157015204¶1¶G06F 13/14¶(2006.01.01)
1020157015204¶2¶G06F 3/041¶(2006.01.01)
1020157015204¶3¶G06F 3/041¶(2006.01.01)
1020157015204¶4¶G09G 5/00¶(2006.01.01)
1020217003575¶1¶B25J 9/04¶(2006.01.01)
1020217003575¶2¶B25J 18/04¶(2006.01.01)
1020217003575¶3¶H01L 21/677¶(2006.01.01)
