source,target
1020080029632,2019940032136
1020080029632,1020020051713
1020200026427,1020010079477
1020200026427,1020150001809
1020140124199,1020100004845
1020140041109,1020120025850
1020130108268,1020100062221
1020130108268,1020090126354
1020130071810,1020070141293
1020130071810,1020100113994
1020130071810,1020130017348
1020130071810,2020020001068
1020150012691,1020080070045
1020150012691,2020090008151
1020150012691,1020080100493
1020150012691,1020080125736
1020150099130,1019960074048
1020150099130,2020030000924
1020150099130,1020110085742
1020150099130,2020100003278
1020210120529,1019980003668
1020210120529,1020040086292
1020110132968,1020040015325
1020110132968,1020070073085
1020110132968,1020050021606
1020110076063,1020010073347
1020110076063,2020010038927
1020130068943,2020050014877
1020200178712,1020140017555
1020200178712,1020160031637
1020070024894,1020030002598
1020070024894,1020050005865
1020070024894,2020030037759
1020070024894,1020050022985
1020070024894,1020040049550
1020070024894,1020040049546
1020070024894,1020040049532
1020070040897,2019980002838
1020190001682,1020140152546
1020190001682,1020170010697
1020190001682,1020080012296
1020190001682,1020090009596
1020190001682,1020060069459
1020120068283,1020110057576
1020120068283,1020090092531
1020120068283,1020100092199
1020110067634,1020040081923
1020160085298,1020120068099
1020160085298,1020080113291
1020160085298,1020070135520
1020160085298,2020030031461
1020160085298,2019980027163
1020160080994,1020130074343
1020160080994,1020140113040
1020160080994,1020130144214
1020150163646,1020090015090
1020150163646,1020120113349
1020150163646,1020120144304
1020150163646,1020090133835
1020150163646,1020130099870
1020150163646,1020070040780
1020150163646,
1020190176480,1019980005828
1020190176480,1020130040704
1020190176480,2019960000262
1020070051297,2020030032926
1020070051297,1020007003261
1020070051297,1020030034637
1020070051297,1020010029791
1020070051297,1019990033164
1020070051297,1020010040649
1020070051297,1020040041691
1020070051297,2020020005138
1020070051297,1020020051713
1020070051297,2020020017331
1020070051297,1020040024426
1020070051297,2020020037914
1020070051297,1020040032583
1020180155902,1020120143296
1020180155902,1020150009017
1020180155902,1020130116495
1020180155902,1020040014006
1020090012985,1020080131872
1020090012985,1020080089119
1020090012986,2019990023827
1020090012986,1020080131872
1020090012986,2020030033105
1020150061147,1020120046725
1020150061147,2020030000924
1020150061147,1020120144304
1020200176342,1020090095401
1020070116874,2020020008252
1020120001989,1020030009963
1020120001989,2019940012237
1020170046696,1019930000323
1020170046696,1020130168841
1020170046696,1020040017692
1020170046696,1020140193730
1020090092243,1020000045716
1020090092243,2020070005611
1020100049814,1020090022074
1020100049814,1019980016837
1020100049814,1020050018362
1020100049814,2019990017906
1020070041798,1020000046517
1020070041798,1020000011874
1020150167054,1020090014219
1020150167054,1020060133949
1020200147459,1020140062268
1020200147459,2020030000831
1020090046438,1020000031401
1020090046438,1020070093068
1020090046438,2019980012692
1020090046438,1020030098587
1020100047739,1020090049027
1020100047739,1020030063966
1020190072901,1020060123149
1020190072901,1019970044914
1020190072901,2020020004210
1020190072901,2019950012884
1020140062268,2020020010393
1020190148824,1020190037133
1020200083081,1020040081927
1020200083081,1020060129185
1020200083081,1020140031092
1020200083081,1020180156356
1020160092574,1019970023477
1020160092574,2020060020545
1020160092574,1020130037373
1020160092574,1020100039694
1020070055667,2020010036256
1020070055667,2020040006221
1020070055667,1020040013470
1020070055667,1019990000790
1020070055667,2020010010553
1020070055667,2020020034667
1020070055667,2019980023276
1020070055672,1019990000790
1020070055672,2020040006221
1020070055672,2020010036256
1020070055672,1020040013470
1020070055672,2020010010553
1020070055672,2019980023276
1020120090018,1020090029063
1020120090018,2020060029136
1020110115299,1020100024980
1020110115299,1020080066672
1020110115299,1020090115198
1020110115299,1020090106277
1020070009947,1019990045695
1020070009947,1020000050268
1020070009947,1020040076430
1020070009947,1019950013239
1020100030227,1019860006398
1020100030227,2019890019173
1020100030227,2019870015768
1020100030227,1020060031692
1020140056912,2020120006547
1020140056912,1020110027596
1020080024722,1020050098611
1020080024722,1019980004814
1020080024722,2019840002221
1020080024722,2020050012602
1020120102984,1020090097030
1020120102984,2020080001352
1020120131155,1020090059716
1020110071266,2019870016657
1020080053651,2020000018324
1020090131407,1020000070227
1020060041751,2020000020280
1020060041751,2019850008835
1020060006055,1020000071369
1020060006055,1020030023665
1020060006055,2020010021954
1020060006055,2020010025659
1020040117778,1020000014145
1020040117778,2020040001354
1020040117778,2019890010904
1020080036020,2020020034933
1020080036020,2020070001757
1020060103929,1019990035763
1020110117582,1020060027078
1020110117582,1020100049814
1020110117582,1020090056150
1020110117582,1019980009015
1020110051791,1020090017451
1020110051791,1020080054949
1020110051791,1020090026391
1020110051791,1020090032489
1020040077604,2020000005573
1020040077604,2019990004442
1020040077604,2019980021953
1020040077604,2020010001275
1020040077604,2020030033958
1020110145995,1020040047931
1020110145995,1019930000323
1020080040601,2020040008191
1020080040601,1019980001804
1020080040601,2020030011524
1020100079467,1020040104371
1020100079467,1020057018157
1020190039272,1020130164013
1020190039272,1020170040502
1020190039272,2020000031517
1020090046255,1019980026492
1020090046255,1020070065811
1020200043626,1020070053514
1020200043626,1020150177442
1020200043626,1020180040623
1020210142575,1020190015107
1020120079439,1020090093731
1020120079439,1020100019997
1020120079439,1020060063098
1020050088141,1020010067639
1020050088141,1020010072116
1020050088141,2019970014322
1020090040784,1020070069293
1020090040784,2020080005604
1020130110021,1020097020333
1020120069755,2019940013118
1020120069755,2020090003713
1020160086603,2020150001560
1020160086603,2019920011585
1020160086603,1020060065345
1020100006370,1020020066457
1020100006370,1020040077611
1020120109569,1020080078244
1020120109570,1020070116876
1020120109570,1020070116874
1020090093732,1020080088106
1020090093732,1020050107162
1020090093732,1020080085005
1020050075755,1019860004674
1020050075755,1020020005891
1020050109270,1019980003636
1020050109270,1019990047473
1020050109270,2020000035654
1020060057976,1020060040582
1020060057976,1019960038018
1020060057976,1020040029812
1020060057976,1020040072886
1020060057976,2019970026824
1020140143697,1020040019031
1020220078804,1020130141654
1020220078804,1020180163056
1020180029769,1020060020188
1020180029769,1020130094573
1020180029769,2020050024415
1020180029769,1020070128197
1020180029769,1020140138340
1020180029769,1020070106346
1020060070204,1020030048783
1020060070204,1020040090971
1020060070204,1020010037322
1020060070204,1020050036919
1020140031442,1020100106665
1020140031442,1020110118250
1020140031442,1020090109764
1020150104095,1020080113290
1020150104095,1020090053193
1020150104095,1020110118250
1020150104095,1020100081554
1020160009587,1020080023753
1020160009587,1020130025965
1020160009587,1020070138081
1020160009587,1020130114007
1020160009587,2019980019482
1020160009587,2019990001987
1020110080475,1020070113994
1020110080475,1020090067652
1020110080475,2019890008202
1020130078660,2020020014863
1020170022279,1020140152546
1020170022279,1019980004106
1020170022279,1020110090302
1020170022279,1020070053875
1020190107839,1020070000285
1020190107839,1020150169029
1020180090161,1020160090341
1020080097235,1020060102589
1020080097235,1020070040494
1020080097235,2020040021538
1020140176180,2020050036804
1020140176180,2019920010522
1020140176180,2020080005197
1020160090767,1020060087743
1020160090767,1020110119934
1020160090767,1020110042864
1020160090767,1020090012709
1020160090767,2020140008255
1020160090767,1020060109318
1020180110786,1020130057361
1020180110786,1020170025804
1020180110786,2020010029554
1020180110786,1020060080059
1020180110786,1020020061829
1020180110786,1020060013955
1020190088371,1020170100938
1020210049210,1020180162506
1020210049210,2020080005239
1020200166506,1019990013057
1020200166506,1020110119501
1020200166506,2020020007504
1020200166506,1020070104707
1020200166506,1020070104707
1020100001440,1020000070214
1020100001440,2020010031484
1020130036592,1020070006927
1020130036592,1020110056757
1020060093919,1019880007224
1020060093919,2019890016226
1020060093919,2019900008116
1020140057497,1020080113238
1020140057497,1020020058832
1020140057497,1020050022985
1020190021517,1020150054455
1020190021517,1020090030830
1020190021517,1020150134259
1020190021517,2020040019136
1020190021517,1020150134258
1020120041944,1020010047774
1020120041944,1020030007626
1020130054200,1020110078000
1020130054200,1020080015553
1020130139597,1020120118992
1020130139597,1020080126645
1020200132730,1020090055793
1020200132730,1020030010615
1020200132730,1020150009704
1020140044523,1020120041605
1020140044523,2020120010555
1020140044523,2019890000016
1020140044523,2019990000859
1020200072102,1020170113811
1020200072102,1020030030517
1020200072102,1020190007847
1020200072102,1020190128265
1020200072102,2020080001352
1020160024192,1020150017907
1020160024192,1020090094655
1020160024192,1020140090093
1020160024087,1020100123490
1020160024087,1020140090093
1020160024087,1020150017907
1020160024240,1020130081639
1020160024240,1020150017907
1020160024240,1020140090093
1020060020692,1019960014534
1020050045039,1019950026861
1020050045039,1019960068727
1020050045039,1019970027293
1020210142516,1020070066756
1020210142516,1020200185749
1020180145966,1020120005977
1020180145966,1020140047842
1020180145966,1020140142704
1020150025172,1020060110865
1020150025172,1020090072857
1020150055477,2019890011335
1020150055477,2019940039741
1020150055477,1020120109768
1020150055477,2019980001812
1020150055477,1020130132456
1020080074159,1020070069708
1020080074159,1020080031780
1020080074159,1020000060431
1020080031780,1020060005241
1020080031780,1019930022076
1020080031780,2019910015335
1020080031780,1020000060431
1020080031780,1020000048807
1020080031780,2020010014157
1020180079612,2020000011493
1020180079612,2020130007242
1020180079612,2019890012276
1020180079612,2019880019850
1020150046697,1019970080324
1020150046697,1020070138479
1020150046697,2020000033864
1020150046697,1019980041219
1020160104836,2020060016345
1020160104836,2019840003752
1020160104836,1020090131407
1020160104836,1020120006592
1020080042885,2019970026314
1020080042885,2019970025518
1020170138492,1020137029429
1020170138492,1020090076779
1020170138492,1020057020277
1020140031092,1020050123054
1020140031092,1020080125018
1020140031092,1020080011927
1020160032762,1020120088706
1020160032762,1020140074859
1020160032762,1020020068642
1020130064002,2020010029374
1020070135377,1019990058040
1020070135377,1020060026124
1020070113991,1020030071182
1020070113991,1020010059489
1020070113991,1020020028772
1020150167052,1020040081926
1020150167052,1020070041503
1020170001873,2020060029136
1020170001873,1020020065362
1020170001873,1020080027031
1020170001873,2019850010206
1020170001873,1020120128854
1020170001873,2019850001949
1020120128854,1019980009359
1020120128854,2020120000032
1020120128854,2019830009425
1020140025229,2020060007255
1020140025229,1020070110467
1020150015997,1020000070227
1020150015997,1020070065810
1020150015997,2020010000104
1020120129478,1020100094195
1020120129478,2020080004473
1020120129478,1020120065969
1020120129478,2020070018504
1020100047738,1020030063966
1020140026943,1020100036281
1020160126914,1020070100058
1020160126914,1020110067650
1020100105470,2019990024075
1020100105470,2019900007992
1020100105470,1020090092243
1020190013077,1020170183571
1020140062866,
1020140062866,2020030012631
1020140062866,2019890000561
1020140062866,2019840007704
1020070055669,2020020034667
1020070055669,2019980023276
1020070055669,1019990000790
1020070055669,2020040006221
1020070055669,2020010036256
1020070055669,1020040013470
1020070055669,2020010010553
1020140026946,2019880019010
1020140026946,2020060023006
1020110089025,1019930000323
1020110006147,2020080005384
1020110006147,2020030026507
1020090026395,2020080001458
1020050133462,1020000036205
1020050133462,2019980020217
1020090036261,1020060062748
1020090036261,2020050029154
1020120118994,2020110008311
1020090009596,1020070070366
1020060110871,2020030010764
1020060110871,2020050005488
1020130039160,1020050039135
1020130039160,2020060031459
1020090079723,1020040057866
1020090079723,2020030028767
1020090079723,1019940021659
1020090079723,2020010005783
1020070034938,1020010054291
1020070034938,1020050087050
1020070034938,1020040057866
1020070034938,2020020005826
1020070034938,2020040017793
1020070034938,1020060026714
1020070034938,1019990012802
1020070034938,2019980002008
1020080080073,1020080060856
1020080080073,1019990010655
1020080080073,1019990009170
1020100069177,2020010024094
1020100069177,2020010029374
1020100069177,2020030022079
1020100069177,1020010027010
1020120006536,2019860010050
1020120006536,1020000066490
1020120006536,2020060032519
1020100062158,1019960018460
1020100062158,1020060022548
1020100062158,2019960013577
1020100062158,2019960026007
1020090026355,1020010058180
1020090062442,1020050091110
1020090062442,2019850017073
1020100016923,1020070096179
1020100016923,1020060121135
1020100016923,1020080018808
1020140001412,2020010029158
1020140001412,1020080097901
1020180136559,1020110025802
1020180136559,1020110116365
1020180136559,1020140008682
1020090042105,1019990052904
1020190019332,1020040073493
1020190019332,2020090004971
1020150048908,1020120046725
1020150048908,2020030000924
1020150048908,1020120144304
1020100140504,2019870015614
1020110025802,1020080074159
1020110025802,1020070084576
1020120136400,2020040037059
1020120136400,2020040031541
1020120136400,1020080102653
1020120136400,1020050029727
1020100028241,2020010001856
1020100028241,1020070048848
1020100028241,1020080097739
1020100028241,2020090017012
1020080119252,1020010029791
1020080119252,1020070000921
1020080119252,1020070028589
1020150127186,1020010051339
1020150127186,2020080000885
1020080010022,2020010007455
1020080010022,1019980018450
1020080010022,1019920016644
1020080010022,1020030012482
1020080010022,1019980009359
1020080010022,2020000033292
1020080010022,2020040009099
1020080078958,2020030010805
1020080078958,1020070022136
1020080078958,1019990020326
1020180073792,1020050025207
1020180073792,1020090023223
1020180073792,2019990018926
1020180073792,2020020034968
1020140138136,1020050041934
1020140138136,1020050065637
1020140138136,1020000053089
1020140138136,1020120009871
1020150037704,1020137025581
1020150037704,1020110097803
1020150037704,1020060044586
1020090091634,1020030099489
1020090091634,1020020034491
1020150104096,1020020010861
1020150104096,1020080113290
1020150104096,1020110118250
1020150104096,1020100106665
1020150121960,1020050123054
1020150121960,1020020010861
1020170044674,1020000071600
1020170044674,1020120043691
1020170044674,1020070104286
1020180025088,2020040003893
1020180025088,2020080006774
1020180025088,2020130001990
1020180025088,1020130118937
1020140013281,2020060031621
1020140013281,1020130027252
1020060025858,1020040025764
1020060025858,2019930027866
1020160089600,1019980005535
1020160089600,1020040115377
1020127023084,1020057020277
1020127023084,1020057020278
1020127023084,1020057006627
1020127023084,1020080017988
1020140182114,1020090097769
1020140182114,1020030037442
1020140182114,1020130064232
1020110117073,1020090084473
1020110117073,1020100009143
1020110062658,1020060027078
1020110062658,2020090016801
1020110062658,2020100010696
1020110062658,2020090002219
1020120037732,1020100086014
1020120037732,2019940022122
1020110028229,1020040065336
1020110028229,1020030043699
1020160116363,1020120153577
1020160103538,1020150165782
1020160103538,1020060061872
1020100120662,2020020021045
1020100120662,2020040036218
1020100120662,2020100004960
1020100120662,1020050132290
1020100083028,1020080066672
1020100083028,2020040008191
1020100083028,1020090083614
1020080126495,2020050002907
1020080126495,2019860014440
1020050050671,1019970034472
1020050050671,
1020050050671,2019830006664
1020070087059,1020030101484
1020070087059,1020050049724
1020070087059,1020050051699
1020100087072,2020000003400
1020110117072,1020110022619
1020110117072,2020060010255
1020150184444,1020050031685
1020150184444,1020120121585
1020150184444,2020020001068
1020150184444,1020130017343
1020150184444,1020050022394
1020150184444,2020070007489
1020150184444,2020130008630
1020150184444,1020130035126
1020150184444,1020110015867
1020110084133,1020070058054
1020110084133,1020030078345
1020160158437,1020130063659
1020160158437,1020150063633
1020120003452,1020100036621
1020120003452,2020020014724
1020190103552,2019810007934
1020080081766,1020030028557
1020080081766,1020030028557
1020080081766,1020010064030
1020080081766,1020070120733
1020160063475,1020150017907
1020160063475,1020050073864
1020160063475,1020110117072
1020160063475,1020140111387
1020100126036,1020060040407
1020120126973,1020080089303
1020120126973,1020100121770
1020120126973,1020110028100
1020120126973,2020040024122
1020100041228,1020080073940
1020100041228,1019980001806
1020100041228,1020100020114
1020140106838,1020060121135
1020140106838,1020120123801
1020140106838,2020020003991
1020180091725,1020030074002
1020180091725,1020160120077
1020210167921,1020090040708
1020210167921,1020160044934
1020210167921,1019980057724
1020210167921,1020080084330
1020210167921,1020110008047
1020140094528,1020110138777
1020140094528,1020020006495
1020140094528,2019980010834
1020190134193,1020110026082
1020190134193,1020120139382
1020190134193,2020060010828
1020190134193,2020090016057
1020130039123,1020080083879
1020190150972,1019950027078
1020190150972,2019950004054
1020190145141,1020140186309
1020190145141,1020020013323
1020080094705,2019980020233
1020080094705,1020080010135
1020190090168,1020030039203
1020190090168,1020100113994
1020190090168,1020150060015
1020190090168,1020150127186
1020140128546,1020120127187
1020140128546,1020010000102
1020120010182,
1020120010182,1019980045612
1020120010182,2019980002007
1020120010182,2019980001369
1020120115801,1020080047557
1020120115801,1020070110467
1020120115801,1020090092243
1020110053773,1020090073612
1020110053773,2019880005930
1020140113040,1020020072183
1020140113040,1020120111632
1020140113040,2020090006801
1020140057659,1020110080374
1020120064254,1020090096992
