출원번호¶특허분류일련번호¶cpc코드¶cpc개정일자
1020200149050¶1¶G06F 3/039¶(2013.01)
1020200149050¶2¶A61F 5/0118¶(2013.01)
1020200149050¶3¶A61F 2005/0197¶(2013.01)
2020170000715¶1¶A61B 5/0531¶(2013.01)
2020170000715¶2¶A61B 5/01¶(2013.01)
2020170000715¶3¶A61B 5/02416¶(2013.01)
2020170000715¶4¶A61B 5/6831¶(2013.01)
2020170000715¶5¶G01K 1/20¶(2013.01)
1020180087613¶1¶A61F 5/37¶(2013.01)
1020180087613¶2¶E05B 47/0002¶(2013.01)
1020180087613¶3¶G08B 17/00¶(2013.01)
1020180087613¶4¶E05B 2047/0086¶(2013.01)
1020187001525¶1¶A61B 5/0024¶(2013.01)
1020187001525¶2¶A61B 5/024¶(2013.01)
1020187001525¶3¶H04M 1/725¶(2013.01)
1020187001525¶4¶A61B 5/6802¶(2013.01)
1020187001525¶5¶H04W 4/80¶(2013.01)
1020160003918¶1¶G06V 40/23¶(2013.01)
1020160003918¶2¶G01P 15/00¶(2013.01)
1020160003918¶3¶A63B 24/0003¶(2013.01)
1020160003918¶4¶A63B 24/0006¶(2013.01)
1020160003918¶5¶A63B 2220/80¶(2013.01)
1020160003918¶6¶A63B 71/0619¶(2013.01)
1020140112870¶1¶G06F 3/014¶(2013.01)
1020140112870¶2¶G06F 3/017¶(2013.01)
1020157022143¶1¶B25J 9/042¶(2013.01)
1020157022143¶2¶B25J 18/04¶(2013.01)
1020157022143¶3¶H01L 21/67766¶(2013.01)
1020157022143¶4¶H01L 21/67742¶(2013.01)
1020177037558¶1¶B25J 9/043¶(2013.01)
1020177037558¶2¶B25J 18/04¶(2013.01)
1020177037558¶3¶B25J 17/00¶(2013.01)
1020140069872¶1¶G06F 18/00¶(2013.01)
1020160043914¶1¶G06V 40/28¶(2013.01)
1020160043914¶2¶G06F 18/22¶(2013.01)
1020160043914¶3¶G01P 15/14¶(2013.01)
1020150129115¶1¶G06F 3/011¶(2013.01)
1020150129115¶2¶G06F 3/017¶(2013.01)
1020150129115¶3¶G06F 21/32¶(2013.01)
1020210039621¶1¶G16H 20/10¶(2013.01)
1020210039621¶2¶G16H 50/70¶(2013.01)
1020210039621¶3¶G16H 70/40¶(2013.01)
1020210039621¶4¶G16H 30/20¶(2013.01)
1020210039621¶5¶G16H 40/67¶(2013.01)
1020210039621¶6¶A61B 5/0024¶(2013.01)
1020210039621¶7¶G06N 20/00¶(2013.01)
1020210039621¶8¶G06N 3/08¶(2013.01)
1020210039621¶10¶A61B 5/6831¶(2013.01)
1020210039621¶11¶G16H 40/63¶(2013.01)
1020210039622¶1¶G16H 20/10¶(2013.01)
1020210039622¶2¶G16H 50/70¶(2013.01)
1020210039622¶3¶G16H 70/40¶(2013.01)
1020210039622¶4¶G16H 30/20¶(2013.01)
1020210039622¶5¶G16H 40/67¶(2013.01)
1020210039622¶6¶A61B 5/0024¶(2013.01)
1020210039622¶7¶A61B 5/6831¶(2013.01)
1020210039622¶8¶G06N 20/00¶(2013.01)
1020210039622¶9¶G06N 3/08¶(2013.01)
1020210039622¶11¶G16H 40/63¶(2013.01)
1020157015204¶1¶G06F 13/14¶(2013.01)
1020157015204¶2¶G06F 3/0412¶(2019.05)
1020157015204¶3¶G06F 3/04166¶(2019.05)
1020157015204¶4¶G09G 5/006¶(2013.01)
1020157015204¶5¶G06F 2203/04104¶(2013.01)
1020217003575¶1¶B25J 9/042¶(2013.01)
1020217003575¶2¶B25J 18/04¶(2013.01)
1020217003575¶3¶H01L 21/67742¶(2013.01)
1020217003575¶4¶H01L 21/67766¶(2013.01)
1020140129585¶1¶G06T 1/00¶(2013.01)
1020177031089¶1¶H01L 21/67742¶(2013.01)
1020177031089¶2¶H01L 21/68707¶(2013.01)
1020177031089¶3¶B25J 9/043¶(2013.01)
1020177031089¶4¶B25J 9/106¶(2013.01)
1020177031089¶5¶B25J 9/1005¶(2013.01)
1020177031089¶6¶B25J 11/0095¶(2013.01)
1020117017877¶1¶H01Q 13/10¶(2013.01)
1020117017877¶2¶H01Q 13/08¶(2013.01)
1020117017877¶3¶H01Q 9/04¶(2013.01)
1020117017877¶4¶H01Q 1/24¶(2013.01)
1020127007331¶1¶H01Q 13/10¶(2013.01)
1020127007331¶2¶H01Q 13/04¶(2013.01)
1020127007331¶3¶H01Q 9/04¶(2013.01)
1020127007331¶4¶H01Q 1/24¶(2013.01)
2020180004413¶1¶A63B 21/06¶(2013.01)
2020180004413¶2¶A63B 21/4021¶(2013.01)
2020180004413¶3¶A63B 21/0004¶(2013.01)
2020180004413¶4¶A63B 2225/74¶(2013.01)
2020180004413¶5¶A63B 2071/0625¶(2013.01)
1020140013682¶1¶A61N 1/18¶(2013.01)
1020140013682¶2¶A61N 1/22¶(2013.01)
1020140013682¶3¶A61N 1/0484¶(2013.01)
1020200166212¶1¶G06F 3/017¶(2013.01)
1020200166212¶2¶G06F 3/014¶(2013.01)
1020200166212¶3¶G06F 3/0346¶(2013.01)
1020200166212¶4¶G02B 2027/0138¶(2013.01)
1020200166212¶5¶G02B 2027/0178¶(2013.01)
1020170079495¶1¶A61F 5/05866¶(2013.01)
1020170079495¶2¶A61F 5/30¶(2013.01)
1020170079495¶3¶A61F 13/107¶(2013.01)
1020170079495¶4¶A41D 13/088¶(2013.01)
1020130013714¶1¶A41D 13/088¶(2013.01)
1020130013714¶2¶A41D 20/00¶(2013.01)
1020130013714¶3¶A41D 2500/50¶(2013.01)
1020160064891¶1¶A44C 5/14¶(2013.01)
1020160064891¶2¶A44C 5/0007¶(2013.01)
1020160064891¶3¶A44C 15/0015¶(2013.01)
1020160064891¶4¶A44B 11/006¶(2013.01)
1020160064891¶5¶G04B 37/1486¶(2013.01)
1020160064891¶6¶H04M 1/72415¶(2013.01)
1020160064891¶7¶A61B 8/02¶(2013.01)
1020160064891¶8¶H04M 2250/02¶(2013.01)
1020160064891¶9¶A44D 2200/10¶(2013.01)
1020160064891¶10¶A63B 2230/06¶(2013.01)
1020160156362¶1¶A61B 5/02141¶(2013.01)
1020160156362¶2¶A61B 5/681¶(2013.01)
1020160156362¶3¶A61B 5/6824¶(2013.01)
1020160156362¶4¶A61B 5/6831¶(2013.01)
1020170146633¶1¶G04G 17/08¶(2013.01)
1020160135077¶1¶A61B 5/4812¶(2013.01)
1020160135077¶2¶A61B 5/1116¶(2013.01)
1020160135077¶3¶A61B 5/7225¶(2013.01)
1020160135077¶4¶A61B 5/7271¶(2013.01)
1020180025991¶1¶G09B 21/009¶(2013.01)
1020180025991¶2¶G06F 3/011¶(2022.02)
1020180025991¶3¶A61B 5/316¶(2022.01)
1020180025991¶4¶G06N 3/02¶(2019.01)
1020150118732¶1¶G09G 3/20¶(2013.01)
1020150118732¶2¶G04G 21/00¶(2013.01)
1020150118732¶3¶G09G 2330/021¶(2013.01)
1020150055642¶1¶H04B 5/0025¶(2013.01)
1020150055642¶2¶H04B 5/0081¶(2013.01)
1020150055642¶3¶H01Q 7/00¶(2013.01)
1020137011934¶1¶H01L 21/67742¶(2013.01)
1020137011934¶2¶H01L 21/67766¶(2013.01)
1020137011934¶3¶B25J 9/042¶(2013.01)
1020137011934¶4¶B25J 11/0095¶(2013.01)
1020160059963¶1¶G06T 7/269¶(2013.01)
1020160059963¶2¶H04N 19/132¶(2013.01)
1020160059963¶3¶H04N 19/142¶(2013.01)
1020160059963¶4¶H04N 19/146¶(2013.01)
1020160059963¶5¶G06T 7/33¶(2013.01)
1020157018589¶1¶G06F 13/14¶(2013.01)
1020157018589¶2¶G06F 13/38¶(2013.01)
1020157018589¶3¶G09G 5/006¶(2013.01)
1020190062117¶1¶A63B 71/0622¶(2013.01)
1020190062117¶2¶A63B 24/0075¶(2013.01)
1020190062117¶3¶A63B 24/0006¶(2013.01)
1020190062117¶4¶G06F 3/005¶(2013.01)
1020190062117¶5¶G06F 3/015¶(2013.01)
1020190062117¶6¶G02B 27/017¶(2013.01)
1020190062117¶7¶A63B 2220/806¶(2013.01)
1020190062117¶8¶A63B 2024/0062¶(2013.01)
1020190062117¶9¶A63B 2071/0666¶(2013.01)
1020190062117¶10¶A63B 2230/10¶(2013.01)
1020190004681¶1¶A61F 5/0118¶(2013.01)
1020190004681¶2¶G04F 1/005¶(2013.01)
1020190004681¶3¶A61F 5/30¶(2013.01)
1020190004681¶4¶A61F 13/107¶(2013.01)
1020190004681¶5¶A41D 13/088¶(2013.01)
1020207031981¶1¶G06K 7/10891¶(2013.01)
1020207031981¶2¶G06F 3/017¶(2013.01)
1020207031981¶3¶G06F 1/163¶(2013.01)
1020207031981¶4¶G06F 1/1694¶(2013.01)
1020207031981¶5¶G06F 1/1696¶(2013.01)
1020207031981¶6¶G06K 2007/10534¶(2013.01)
1020227044393¶1¶B25J 9/043¶(2013.01)
1020227044393¶2¶B25J 9/104¶(2013.01)
1020227044393¶3¶B25J 9/1682¶(2013.01)
1020227044393¶4¶B25J 11/0095¶(2013.01)
1020227044393¶5¶F16H 19/005¶(2013.01)
1020227044393¶6¶H01L 21/67742¶(2013.01)
1020227044393¶7¶H01L 21/68707¶(2013.01)
1020197037645¶1¶G07C 9/00896¶(2013.01)
1020197037645¶2¶A63G 7/00¶(2013.01)
1020197037645¶3¶G07C 11/00¶(2021.01)
1020197037645¶4¶G07F 17/12¶(2020.05)
1020197037645¶5¶A45C 13/18¶(2013.01)
1020197037645¶6¶G07C 2011/02¶(2013.01)
1020180062164¶1¶G06F 1/163¶(2013.01)
1020180062164¶2¶G06F 1/1684¶(2013.01)
1020180062164¶3¶G01N 15/0205¶(2013.01)
1020180062164¶4¶G01N 21/94¶(2013.01)
1020180062164¶5¶H04W 4/80¶(2013.01)
1020180062164¶6¶G06F 3/011¶(2013.01)
1020180053265¶1¶B32B 7/027¶(2013.01)
1020180053265¶2¶B32B 7/12¶(2013.01)
1020180053265¶3¶B32B 5/16¶(2013.01)
1020180053265¶4¶B32B 5/30¶(2013.01)
1020180053265¶5¶B32B 2437/00¶(2013.01)
1020180053265¶6¶B32B 2307/724¶(2013.01)
1020180053265¶7¶B32B 2519/02¶(2013.01)
1020180053265¶8¶B32B 2307/726¶(2013.01)
1020180053265¶9¶B32B 2307/7265¶(2013.01)
1020150030839¶1¶H04B 5/0025¶(2013.01)
1020150030839¶2¶H04B 5/0081¶(2013.01)
1020150030839¶3¶H01Q 7/00¶(2013.01)
1020150030839¶4¶G06F 1/163¶(2013.01)
1020197008576¶1¶A61M 1/3655¶(2022.05)
1020197008576¶2¶A61M 1/367¶(2022.05)
1020197008576¶3¶A61M 60/857¶(2023.05)
1020197008576¶4¶A61M 60/216¶(2023.05)
1020197008576¶5¶A61M 60/31¶(2021.01)
1020197008576¶6¶A61M 60/818¶(2023.05)
1020197008576¶7¶A61M 60/37¶(2021.01)
1020197008576¶8¶A61M 60/538¶(2021.01)
1020197008576¶9¶A61M 60/152¶(2021.01)
1020197008576¶10¶A61M 60/422¶(2021.01)
1020197008576¶11¶A61M 60/148¶(2021.01)
1020197008576¶12¶A61M 1/14¶(2022.05)
1020197008576¶13¶A61M 25/0194¶(2013.01)
1020197008576¶14¶A61B 90/39¶(2016.02)
1020197008576¶15¶A61M 2206/10¶(2013.01)
1020197008576¶16¶A61M 2205/0205¶(2013.01)
1020197008576¶17¶A61M 2205/3334¶(2013.01)
1020197008576¶18¶A61B 2090/3966¶(2016.02)
1020197008576¶19¶A61B 2017/1107¶(2013.01)
1020197008576¶20¶A61M 2205/8206¶(2013.01)
1020147029326¶1¶H01L 21/67742¶(2013.01)
1020180038991¶1¶G01B 11/254¶(2013.01)
1020180038991¶2¶G02B 1/002¶(2013.01)
1020180038991¶3¶G02B 3/0087¶(2013.01)
1020197028254¶1¶A61B 5/1118¶(2013.01)
1020197028254¶2¶A61B 5/1123¶(2013.01)
1020197028254¶3¶G01C 22/006¶(2013.01)
1020197028254¶4¶A61B 5/7207¶(2013.01)
1020197028254¶5¶A61B 2562/0219¶(2013.01)
1020177004672¶1¶G10L 15/16¶(2013.01)
1020177004672¶2¶G10L 15/04¶(2013.01)
1020177004672¶3¶G10L 15/02¶(2013.01)
1020167032964¶1¶G06T 1/20¶(2013.01)
1020167032964¶2¶G06T 15/80¶(2013.01)
1020167032964¶3¶G09G 5/10¶(2013.01)
1020167032964¶4¶G09G 2360/08¶(2013.01)
1020187016745¶1¶B25J 13/08¶(2013.01)
1020187016745¶2¶B25J 13/06¶(2013.01)
1020187016745¶3¶B25J 9/1602¶(2013.01)
1020187016745¶4¶B25J 9/1664¶(2013.01)
1020187016745¶5¶B25J 15/0616¶(2013.01)
1020170007969¶1¶A44C 5/00¶(2013.01)
1020170007969¶2¶A44C 5/14¶(2013.01)
1020170134182¶1¶A44C 5/0015¶(2013.01)
1020170134182¶2¶G09B 21/003¶(2013.01)
1020227032748¶1¶G01R 19/155¶(2013.01)
1020227032748¶2¶G01R 1/20¶(2013.01)
1020227032748¶3¶G01R 15/00¶(2013.01)
1020150141639¶1¶A61B 5/02141¶(2013.01)
1020150141639¶2¶A61B 5/6824¶(2013.01)
1020207016635¶1¶A61B 34/71¶(2013.01)
1020207016635¶2¶A61B 34/35¶(2013.01)
1020207016635¶3¶A61B 17/29¶(2013.01)
1020207016635¶4¶A61B 2034/715¶(2013.01)
1020207016635¶5¶A61B 2017/2939¶(2013.01)
1020207016635¶6¶A61B 2017/2919¶(2013.01)
1020207016635¶7¶A61B 2017/00477¶(2013.01)
1020207016635¶8¶A61B 2017/00398¶(2013.01)
1020167026926¶1¶A61F 13/108¶(2013.01)
1020167026926¶2¶A61F 5/0118¶(2013.01)
1020167026926¶3¶A61F 2013/00153¶(2013.01)
1020167026926¶4¶A61F 2013/00119¶(2013.01)
1020197018651¶1¶H01L 21/67259¶(2013.01)
1020197018651¶2¶H01L 22/24¶(2013.01)
1020197018651¶3¶H01L 22/12¶(2013.01)
1020197018651¶4¶H01L 22/30¶(2013.01)
1020197018651¶5¶G01N 21/55¶(2013.01)
1020170021111¶1¶H01L 21/768¶(2013.01)
1020170021111¶2¶A61B 5/24¶(2013.01)
1020170021111¶3¶H01L 24/50¶(2013.01)
1020170021111¶4¶H01L 24/27¶(2013.01)
1020170021111¶5¶H01L 24/28¶(2013.01)
1020170021111¶6¶H01L 21/0273¶(2013.01)
1020170021111¶7¶H01L 21/56¶(2013.01)
1020170021111¶8¶H01L 21/02422¶(2013.01)
1020170021111¶9¶H01L 21/02606¶(2013.01)
1020170021111¶10¶A61B 2562/12¶(2013.01)
1020170021111¶11¶A61B 2562/166¶(2013.01)
1020177008247¶1¶G06F 3/011¶(2013.01)
1020177008247¶2¶G06F 1/163¶(2013.01)
1020177008247¶3¶G06F 3/0346¶(2013.01)
1020177008247¶4¶G06F 3/16¶(2013.01)
