출원번호,일련번호,특허유형
1020080029632,2001318870000,Y1
1020080029632,1004803130000,B1
1020200026427,1020020085770,A
1020200026427,1020160085003,A
1020140124199,1009866370000,B1
1020140041109,1020130104395,A
1020130108268,1020120001443,A
1020130108268,1020110069570,A
1020130071810,1020090073372,A
1020130071810,1020120052714,A
1020130071810,1020130031869,A
1020130071810,2002728930000,Y1
1020150012691,1009751420000,B1
1020150012691,2020100013047,U
1020150012691,1010376520000,B1
1020150012691,1020100067259,A
1020150099130,1019980054863,A
1020150099130,2003145630000,Y1
1020150099130,1013031250000,B1
1020150099130,2020110009461,U
1020210120529,1019980010225,A
1020210120529,1020040097975,A
1020110132968,1020050090031,A
1020110132968,1008747480000,B1
1020110132968,1020060100015,A
1020110076063,1020030042623,A
1020110076063,2002704110000,Y1
1020130068943,2003922800000,Y1
1020200178712,1014184350000,B1
1020200178712,1016727550000,B1
1020070024894,,10-2004-0065591 A
1020070024894,,10-2006-0084995 A
1020070024894,,20-0342139 Y1
1020070024894,,10-2006-0101111 A
1020070024894,,10-2006-0000631 A
1020070024894,,10-2006-0000627 A
1020070024894,,10-2006-0000619 A
1020070040897,2019990036851,U
1020190001682,1015803060000,B1
1020190001682,1017601330000,B1
1020190001682,1020090086818,A
1020190001682,1020100090375,A
1020190001682,1007540030000,B1
1020120068283,1020120006929,A
1020120068283,1020110035002,A
1020120068283,1020120030254,A
1020110067634,1005702860000,B1
1020160085298,1020140000803,A
1020160085298,1009751040000,B1
1020160085298,1020090067760,A
1020160085298,2003388780000,Y1
1020160085298,2020000013896,U
1020160080994,1014364240000,B1
1020160080994,1016248870000,B1
1020160080994,1020150060137,A
1020150163646,1009402190000,B1
1020150163646,1020140047297,A
1020150163646,1020140076126,A
1020150163646,1020110077305,A
1020150163646,1014457860000,B1
1020150163646,1007503750000,B1
1020150163646,2019980692743,U
1020190176480,1019980010119,A
1020190176480,1020140123385,A
1020190176480,2001408060000,Y1
1020070051297,,20-0339246 Y1
1020070051297,,10-2001-0082498 A
1020070051297,,10-2004-0103606 A
1020070051297,,10-2001-0070659 A
1020070051297,,10-2001-0017580 A
1020070051297,,10-2003-0004900 A
1020070051297,,10-2004-0063857 A
1020070051297,,20-0275371 Y1
1020070051297,,10-2004-0020200 A
1020070051297,,20-0290993 Y1
1020070051297,,10-0516077 B1
1020070051297,,20-0307964 Y1
1020070051297,,10-0561975 B1
1020180155902,1012476200000,B1
1020180155902,1016409380000,B1
1020180155902,1020150037160,A
1020180155902,1020050088616,A
1020090012985,1020090008174,A
1020090012985,1008769390000,B1
1020090012986,2001796350000,Y1
1020090012986,1020090008174,A
1020090012986,2003389510000,Y1
1020150061147,1020130123531,A
1020150061147,2003145630000,Y1
1020150061147,1020140076126,A
1020200176342,1020110038209,A
1020070116874,2002805590000,Y1
1020120001989,1020040074365,A
1020120001989,2019950033915,U
1020170046696,1019940018603,A
1020170046696,1015704990000,B1
1020170046696,1020050092592,A
1020170046696,1016788890000,B1
1020090092243,1020020012431,A
1020090092243,2020070000493,A
1020100049814,1009098470000,B1
1020100049814,1019980033718,A
1020100049814,1020060097270,A
1020100049814,2001671140000,Y1
1020070041798,,10-2001-0007752 A
1020070041798,,10-2001-0087973 A
1020150167054,1020100095104,A
1020150167054,1008393400000,B1
1020200147459,1016016670000,B1
